"Feature","Missing_Rate","Domain"
"ST82TS",1,"Neuroimaging"
"ST83CV",1,"Neuroimaging"
"ST83SA",1,"Neuroimaging"
"ST83TA",1,"Neuroimaging"
"ST83TS",1,"Neuroimaging"
"ST84CV",1,"Neuroimaging"
"ST84SA",1,"Neuroimaging"
"ST84TA",1,"Neuroimaging"
"ST84TS",1,"Neuroimaging"
"ST85CV",1,"Neuroimaging"
"ST85SA",1,"Neuroimaging"
"ST85TA",1,"Neuroimaging"
"ST85TS",1,"Neuroimaging"
"ST87sa",1,"Neuroimaging"
"ST88SV",1,"Neuroimaging"
"ST89SV",1,"Neuroimaging"
"ST8SV",1,"Neuroimaging"
"ST90CV",1,"Neuroimaging"
"ST90SA",1,"Neuroimaging"
"ST90TA",1,"Neuroimaging"
"ST90TS",1,"Neuroimaging"
"ST91CV",1,"Neuroimaging"
"ST91SA",1,"Neuroimaging"
"ST91TA",1,"Neuroimaging"
"ST91TS",1,"Neuroimaging"
"ST93CV",1,"Neuroimaging"
"ST93SA",1,"Neuroimaging"
"ST93TA",1,"Neuroimaging"
"ST93TS",1,"Neuroimaging"
"ST94CV",1,"Neuroimaging"
"ST94SA",1,"Neuroimaging"
"ST94TA",1,"Neuroimaging"
"ST94TS",1,"Neuroimaging"
"ST95CV",1,"Neuroimaging"
"ST95SA",1,"Neuroimaging"
"ST95TA",1,"Neuroimaging"
"ST95TS",1,"Neuroimaging"
"ST96SV",1,"Neuroimaging"
"ST97CV",1,"Neuroimaging"
"ST97SA",1,"Neuroimaging"
"ST97TA",1,"Neuroimaging"
"ST97TS",1,"Neuroimaging"
"ST98CV",1,"Neuroimaging"
"ST98SA",1,"Neuroimaging"
"ST98TA",1,"Neuroimaging"
"ST98TS",1,"Neuroimaging"
"ST99CV",1,"Neuroimaging"
"ST99SA",1,"Neuroimaging"
"ST99TA",1,"Neuroimaging"
"ST99TS",1,"Neuroimaging"
"ST9SV",1,"Neuroimaging"
"ST147SV",1,"Neuroimaging"
"ST148SV",1,"Neuroimaging"
"ST149SV",1,"Neuroimaging"
"ST150SV",1,"Neuroimaging"
"ST151SV",1,"Neuroimaging"
"ST152SV",1,"Neuroimaging"
"ST153SV",1,"Neuroimaging"
"ST154SV",1,"Neuroimaging"
"ST155SV",1,"Neuroimaging"
"update_stamp.mri",1,"Other Metadata"
